date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:45	184893/184893	---M--	200	added ('OK')	image/png	etag:%2264224687-2e9e9%22	https://www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/southwark%20cat%20(1).png?itok=9-IUo_gB	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/southwark%20cat%20(1)59b6.png	(from https://www.britishmuseum.org/)
14:26:46	4948/4948	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:44%20GMT	https://www.britishmuseum.org/collection/americas	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/americas.46.delayed	(from https://www.britishmuseum.org/)
14:26:46	4993/4993	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:45%20GMT	https://www.britishmuseum.org/collection/death-and-memory	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/death-and-memory	(from https://www.britishmuseum.org/)
14:26:46	171131/171131	---M--	200	added ('OK')	image/png	etag:%226422c533-2d242%22	https://www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/maize%20god%20cut%20out.png?itok=78cBCR5q	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/maize%20god%20cut%20out40d7.png	(from https://www.britishmuseum.org/)
14:26:46	179723/179723	---M--	200	added ('OK')	image/png	etag:%2264223ff9-3082c%22	https://www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/01461427_001_TIF.png?itok=lMCLOHiD	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/01461427_001_TIF743a.png	(from https://www.britishmuseum.org/)
14:26:46	4942/4942	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:46%20GMT	https://www.britishmuseum.org/collection/africa	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/africa.4a.delayed	(from https://www.britishmuseum.org/)
14:26:47	245332/245332	---M--	200	added ('OK')	image/png	etag:%226422c533-3e390%22	https://www.britishmuseum.org/sites/default/files/styles/large/public/2019-07/African%20containers.png?itok=8Uw-tk9x	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/large/public/2019-07/African%20containers9c9e.png	(from https://www.britishmuseum.org/)
14:26:47	41682/41682	---M--	200	added ('OK')	image/jpeg	etag:%2265df005c-a2d2%22	https://www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2019-10/Inspired%20by%20The%20British%20Museum.jpg?itok=C6mUVQ-0	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2019-10/Inspired%20by%20The%20British%20Museum5d82.jpg	(from https://www.britishmuseum.org/)
14:26:47	25258/25258	---M--	200	added ('OK')	image/jpeg	etag:%2265df005c-6920%22	https://www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2020-08/Lewis-chessmen-shop_edit.jpg?itok=AVi4I8uF	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2020-08/Lewis-chessmen-shop_edit1d4e.jpg	(from https://www.britishmuseum.org/)
14:26:48	37526/37526	---M--	200	added ('OK')	image/jpeg	etag:%2265df068e-9a8c%22	https://www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2020-08/Sutton-Hoo-Helmet.jpg?itok=bpL78HRv	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2020-08/Sutton-Hoo-Helmetfc4b.jpg	(from https://www.britishmuseum.org/)
14:26:48	61546/61546	---M--	200	added ('OK')	image/jpeg	etag:%2265df07f2-fb8b%22	https://www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2020-08/Coloursplash%20London%20Tea%20Towel_edit.jpg?itok=6y8WyTA4	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/uncropped_huge/public/2020-08/Coloursplash%20London%20Tea%20Towel_editdfd5.jpg	(from https://www.britishmuseum.org/)
